Module Name,Course fee
WSQ Front-end Development (SF),1200.0
WSQ Programming Foundations (SF),1200.0
WSQ UI Frameworks (SF),1200.0
WSQ Database Design and Implementation (SF),1200.0
WSQ Web development foundations (SF),1200.0
WSQ Enterprise Application Design (SF),1200.0
WSQ Develop Enterprise Applications (SF) (Synchronous and Asynchronous E-Learning),1800.0
WSQ Application Integration (SF) (Synchronous and Asynchronous E-Learning),1200.0
WSQ Capstone Project-Application implementation (SF) (Synchronous and Asynchronous E-Learning),1800.0
WSQ Data Analytics & Visualization (SF),3600.0
WSQ Data Science Essentials (SF),3600.0
WSQ Principles of Machine Learning (SF),3600.0
WSQ Captone Project-Data Analytics (SF),3600.0
WSQ Fundamentals of server (SF),1200.0
WSQ Fundamentals of network (SF),900.0
WSQ Install & configure operating systems (SF),1200.0
WSQ Support & maintain Operating systems (SF),1200.0
WSQ Azure fundamentals (SF),600.0
WSQ Robotic Process Automation (SF),3000.0
WSQ Power Platform Solutions (SF),3000.0
WSQ Capstone Project -power apps (SF),3000.0
WSQ Digital Transformation (SF),3600.0
WSQ Capstone Project-Digital Transformation (SF),3600.0
WSQ Basic Digital Marketing (SF),3000.0
WSQ Advanced Digital Marketing (SF),3000.0
WSQ Content Marketing (SF),3000.0
WSQ Capstone Project -Digital marketing (SF),3000.0
WSQ Solution sales (SF),3000.0
WSQ Capstone Project-Digital Sales (SF),3000.0
WSQ Business Analytics (SF),3000.0
WSQ Capstone Project-Business Analytics (SF),3000.0
WSQ Install and Configure Server (SF) (Synchronous and Asynchronous E-Learning),1500.0
WSQ Administer Server (SF) (Synchronous and Asynchronous E-Learning),1500.0
WSQ Configure Advanced Server (SF) (Synchronous and Asynchronous E-Learning),1500.0
WSQ Cloud administration (SF) (Synchronous and Asynchronous E-Learning),1500.0
WSQ Security administration (SF) (Synchronous and Asynchronous E-Learning),1200.0
WSQ Content Marketing & Video (SF),3000.0
WSQ Omni Commerce Campaign (SF),3000.0
WSQ Marketing Automation & CRM Apps (SF) (Synchronous and Asynchronous E-Learning),3000.0
NICF-Agile Project Management (Implementation) (SF),3000.0
WSQ Generative AI (SF) (Synchronous and Asynchronous E-Learning),3600.0
WSQ Capstone Project -Digital Marketing (SF) (Synchronous and Asynchronous E-Learning),3000.0
"BDM, CMV (ADM) exempt",18600.0
WSQ Capstone Project-Application implementation (SF) (Synchronous and Asynchronous E-Learning),1800.0
WSQ Applied machine learning (SF) (Synchronous and Asynchronous E-Learning),3600.0
WSQ Applied python programming (SF) (Synchronous and Asynchronous E-Learning),3600.0
WSQ Deep learning (SF) (Synchronous and Asynchronous E-Learning),3600.0
WSQ Python for Data Science (Bundled) (SF),1500.0
WSQ Python for Data Science (SF),1500.0
WSQ Data Modelling & Visualization (SF),3000.0
WSQ Statistics for Data Science (SF),1500.0
WSQ Data science principles (SF),3000.0
WSQ Machine Learning Algorithms and methods (SF),3000.0
WSQ Machine Learning Applications (SF),3000.0
WSQ Data Science Modelling Project (SF),3000.0
WSQ Server basics (SF),1100.0
WSQ Networking basics (SF),1100.0
WSQ IT Operating Systems deployment (SF),1100.0
WSQ IT Operating systems support (SF),1100.0
WSQ Cloud fundamentals (SF),600.0
WSQ Linux fundamentals (SF),1100.0
WSQ IT Customer service (SF),800.0
WSQ Capstone project - IT system support (SF),1100.0
WSQ Cloud infrastructure & administration (SF),2000.0
WSQ Maintain hybrid cloud systems (SF),2000.0
WSQ Configure advanced hybrid cloud systems (SF),2000.0
WSQ Cloud virtual desktop (SF),2000.0
WSQ Cloud security governance (SF),2000.0
WSQ Capstone project - IT Cloud administration (SF),2000.0
Digital Marketing Fundamentals (Bundled) (SF),2000.0
Digital Marketing Analytics (Bundled) (SF),2000.0
Social Media Marketing Tools and Techniques (Bundled) (SF),2000.0
Marketing content development (Bundled) (SF),2000.0
SEO & SEM (Bundled) (SF),2000.0
Capstone Project Digital Marketing Implementation (Bundled) (SF),3000.0
Digital Marketing Analytics (Bundled) (SF),2000.0
NICF-Digital Innovation (SF),3000.0
WSQ Capstone Project-Web development (SF),1200.0
WSQ Applied python programming (SF),3600.0
WSQ Applied machine learning (SF),3600.0
WSQ Applied python programming (SF) ,3600.0
WSQ Deep learning (SF),3600.0
WSQ Capstone project - AI (SF),3600.0
WSQ Install and Configure Server (SF),1500.0
WSQ Administer Server (SF),1500.0
WSQ Configure Advanced Server (SF),1500.0
WSQ Cloud administration (SF),1500.0
WSQ Security administration (SF),1200.0
NICF-Innovative Venture Creation (SF),3000.0
NICF-Innovation and Entrepreneurship Capstone (SF),3000.0
NICF-Operational Analytics (SF),3000.0
RETSF-Marketing Analytics (SF),3000.0

