Module Name,Module Fee
"BDM, CMV (ADM) EXEMPT",18600.0
CAPSTONE PROJECT DIGITAL MARKETING IMPLEMENTATION (BUNDLED) (SF),3000.0
DIGITAL MARKETING ANALYTICS (BUNDLED) (SF),2000.0
DIGITAL MARKETING FUNDAMENTALS (BUNDLED) (SF),2000.0
MARKETING CONTENT DEVELOPMENT (BUNDLED) (SF),2000.0
NICF AGILE PROJECT MANAGEMENT (IMPLEMENTATION) (SF),3000.0
NICF DIGITAL INNOVATION (SF),3000.0
NICF INNOVATION AND ENTREPRENEURSHIP CAPSTONE (SF),3000.0
NICF INNOVATIVE VENTURE CREATION (SF),3000.0
NICF OPERATIONAL ANALYTICS (SF),3000.0
RETSF MARKETING ANALYTICS (SF),3000.0
SEO AND SEM (BUNDLED) (SF),2000.0
SOCIAL MEDIA MARKETING TOOLS AND TECHNIQUES (BUNDLED) (SF),2000.0
WSQ ADMINISTER SERVER (SF),1500.0
WSQ ADMINISTER SERVER (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1500.0
WSQ ADVANCED DIGITAL MARKETING (SF),3000.0
WSQ APPLICATION INTEGRATION (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1200.0
WSQ APPLIED MACHINE LEARNING (SF),3600.0
WSQ APPLIED MACHINE LEARNING (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),3600.0
WSQ APPLIED PYTHON PROGRAMMING (SF),3600.0
WSQ APPLIED PYTHON PROGRAMMING (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),3600.0
WSQ AZURE FUNDAMENTALS (SF),600.0
WSQ BASIC DIGITAL MARKETING (SF),3000.0
WSQ BUSINESS ANALYTICS (SF),3000.0
WSQ CAPSTONE PROJECT AI (SF),3600.0
WSQ CAPSTONE PROJECT APPLICATION IMPLEMENTATION (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1800.0
WSQ CAPSTONE PROJECT BUSINESS ANALYTICS (SF),3000.0
WSQ CAPSTONE PROJECT DIGITAL MARKETING (SF),3000.0
WSQ CAPSTONE PROJECT DIGITAL MARKETING (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),3000.0
WSQ CAPSTONE PROJECT DIGITAL SALES (SF),3000.0
WSQ CAPSTONE PROJECT DIGITAL TRANSFORMATION (SF),3600.0
WSQ CAPSTONE PROJECT IT CLOUD ADMINISTRATION (SF),2000.0
WSQ CAPSTONE PROJECT IT SYSTEM SUPPORT (SF),1100.0
WSQ CAPSTONE PROJECT POWER APPS (SF),3000.0
WSQ CAPSTONE PROJECT WEB DEVELOPMENT (SF),1200.0
WSQ CAPTONE PROJECT DATA ANALYTICS (SF),3600.0
WSQ CLOUD ADMINISTRATION (SF),1500.0
